epoch,loss,accuracy,val_loss,val_accurarcy,lr
1,0.3645,0.8971,0.1335,0.9617,0.001
1,0.3645,0.8971,0.1335,0.9617,0.001
2,0.2414,0.93,0.1493,0.9606,0.001
2,0.2414,0.93,0.1493,0.9606,0.001
3,0.2234,0.9336,0.1315,0.9648,0.001
3,0.2234,0.9336,0.1315,0.9648,0.001
4,0.2066,0.9379,0.1124,0.9694,0.001
4,0.2066,0.9379,0.1124,0.9694,0.001
5,0.1983,0.9397,0.1083,0.9698,0.001
5,0.1983,0.9397,0.1083,0.9698,0.001
6,0.202,0.9398,0.1182,0.9686,0.001
6,0.202,0.9398,0.1182,0.9686,0.001
7,0.1936,0.942,0.1277,0.9614,0.001
7,0.1936,0.942,0.1277,0.9614,0.001
8,0.187,0.9435,0.1059,0.9705,0.001
8,0.187,0.9435,0.1059,0.9705,0.001
9,0.183,0.9449,0.1127,0.9682,0.001
9,0.183,0.9449,0.1127,0.9682,0.001
10,0.1848,0.9445,0.1062,0.9748,0.001
10,0.1848,0.9445,0.1062,0.9748,0.001
11,0.1775,0.9454,0.1062,0.9698,0.001
11,0.1775,0.9454,0.1062,0.9698,0.001
12,0.1587,0.9501,0.1069,0.9686,0.0005
12,0.1587,0.9501,0.1069,0.9686,0.0005
13,0.1588,0.9515,0.1012,0.9717,0.0005
13,0.1588,0.9515,0.1012,0.9717,0.0005
14,0.1535,0.9522,0.1031,0.9725,0.0005
14,0.1535,0.9522,0.1031,0.9725,0.0005
15,0.1477,0.9548,0.0994,0.974,0.0005
15,0.1477,0.9548,0.0994,0.974,0.0005
16,0.1494,0.9539,0.1021,0.9702,0.0005
16,0.1494,0.9539,0.1021,0.9702,0.0005
17,0.1462,0.9543,0.0993,0.974,0.0005
17,0.1462,0.9543,0.0993,0.974,0.0005
18,0.142,0.9545,0.1045,0.9728,0.0005
18,0.142,0.9545,0.1045,0.9728,0.0005
19,0.1388,0.9568,0.1009,0.9732,0.00025
19,0.1388,0.9568,0.1009,0.9732,0.00025
20,0.1357,0.9584,0.1009,0.9721,0.00025
20,0.1357,0.9584,0.1009,0.9721,0.00025
21,0.1404,0.9571,0.0993,0.9732,0.00025
21,0.1404,0.9571,0.0993,0.9732,0.00025
22,0.1309,0.9592,0.0989,0.9732,0.000125
22,0.1309,0.9592,0.0989,0.9732,0.000125
23,0.131,0.9596,0.0996,0.9717,0.000125
23,0.131,0.9596,0.0996,0.9717,0.000125
24,0.1294,0.9603,0.099,0.9732,0.000125
24,0.1294,0.9603,0.099,0.9732,0.000125
25,0.1303,0.9601,0.0991,0.9717,0.000125
25,0.1303,0.9601,0.0991,0.9717,0.000125
26,0.1302,0.9592,0.0982,0.9728,6.25e-05
26,0.1302,0.9592,0.0982,0.9728,6.25e-05
27,0.1314,0.9596,0.0983,0.9728,6.25e-05
27,0.1314,0.9596,0.0983,0.9728,6.25e-05
28,0.1274,0.9612,0.0981,0.9725,6.25e-05
28,0.1274,0.9612,0.0981,0.9725,6.25e-05
29,0.1267,0.9625,0.0989,0.9728,6.25e-05
29,0.1267,0.9625,0.0989,0.9728,6.25e-05
30,0.1281,0.9595,0.0992,0.9725,6.25e-05
30,0.1281,0.9595,0.0992,0.9725,6.25e-05
31,0.1264,0.9605,0.0993,0.9725,6.25e-05
31,0.1264,0.9605,0.0993,0.9725,6.25e-05
32,0.1274,0.9612,0.0991,0.9728,3.125e-05
32,0.1274,0.9612,0.0991,0.9728,3.125e-05
33,0.1218,0.9619,0.0984,0.9732,3.125e-05
33,0.1218,0.9619,0.0984,0.9732,3.125e-05
